text,created_at,retweet_count,favorite_count
"Reach for the stars, Ags! Texas A&amp;M is ready to conquer space exploration and research with the new Texas A&amp;M Space Institute. The new facility will be next to @NASA_Johnson in Houston and help Texas A&amp;M become a leader in the new space economy.

🔗: https://t.co/Xsb1aLmJSZ https://t.co/GMoDGg9gpR",Sat Nov 16 00:29:05 +0000 2024,190,22
"Members of the Texas A&amp;M Faculty Senate have expressed defiance and shock after being held accountable by the university’s Board of Regents.

https://t.co/FLEn7mHT4F",Mon Nov 18 17:15:07 +0000 2024,45,19
"Today marks the 25th anniversary of one of the saddest events in Texas history, the collapse of the Texas A&amp;M bonfire, which killed 12 students and injured 27. The Aggie Bonfire was a long-standing annual tradition at Texas A&amp;M as part of the college rivalry with the University https://t.co/mmKzMwvYWL",Mon Nov 18 22:35:48 +0000 2024,1417,176
"On November 18, 1999, a stack of over 5,000 logs collapsed at Texas A&amp;M University, killing 12 people. https://t.co/N4UQOkAt6m",Mon Nov 18 12:46:01 +0000 2024,4,2
"Texas hasn’t lost a road game in over 2 years. 

A&amp;M has only 2 road wins in 3 years, but none vs teams with winning records.",Sat Nov 16 20:49:14 +0000 2024,355,12
Why did A&amp;M call a timeout? They just helped Auburn setup a decent play.,Sun Nov 24 04:09:27 +0000 2024,57,0
"Certified Green Restaurants® can be found at colleges and universities, such as:

🌱Texas A&amp;M University
🌱University of Houston
🌱UMass Boston
🌱Harvard University
🌱UConn

Find a college or university with Certified Green Restaurants® here: https://t.co/V8nBJeTh0M

#dinegreen https://t.co/LeoFusWOlY",Wed Nov 27 18:01:21 +0000 2024,0,0
"Texas Universities Are Reckless With Your Money

Join @SaraGonzalesTX on Come and Take It

Today, Sara talks about how UT offers “free” tuition to students whose families make less than $100, and Gov. Abbott orders state funds—controlled by the UT &amp; A&amp;M systems—to divest from https://t.co/OgXYMGVmgN",Tue Nov 26 18:00:02 +0000 2024,20,8
"The University of Texas School of Medicine is pure trash &amp; should be shut down for doing this to me! I’m not even from Texas, that’s not where I went to medical school &amp; I was not working there or looking for a job there! 
https://t.co/4nHGd7XfeE",Sun Nov 24 22:14:09 +0000 2024,5,1
"Keeping in tradition with Texas A&amp;M’s history of service to the nation, a new partnership with the U.S. Coast Guard gives Aggies the opportunity to work alongside active military and civilian Coast Guard personnel across the branch’s operational units.
🔗: https://t.co/jEzKq7UrEj https://t.co/j7BKtcVOMc",Fri Nov 15 23:13:05 +0000 2024,50,0
